,0,1,2,x,y,z
0,3.223819793,3.39193184,3.867497588,0.307521049,0.323557303,0.368921649
1,3.854075127,3.914072426,4.015948862,0.327057331,0.33214871,0.340793958
2,3.948254868,4.241482112,4.442584594,0.312551802,0.335764261,0.351683938
3,3.416510605,3.631972255,4.644949238,0.292173468,0.310599337,0.397227195
4,5.437560127,5.73024565,7.108631108,0.297517517,0.313531882,0.388950601
5,3.220835595,3.358530584,3.85434683,0.308695053,0.321892176,0.369412771
6,3.506350413,3.800160858,4.030488944,0.309283792,0.335199858,0.355516351
7,3.370902079,3.554062601,3.935039911,0.310396009,0.327261611,0.36234238
8,3.509594086,3.7541127,4.086083565,0.30922105,0.330764938,0.360014012
9,3.144015192,3.311028317,3.864371252,0.304669912,0.320854273,0.374475815
10,2.371148784,2.472241703,3.101145429,0.298462844,0.31118768,0.390349476
11,3.105758033,3.27539716,3.839998662,0.303855913,0.320452779,0.375691308
12,3.259894972,3.375477748,4.023966055,0.305825253,0.316668587,0.377506161
13,3.106323332,3.274137773,3.750523661,0.306616129,0.323180604,0.370203267
14,3.510751678,3.534597602,4.127652086,0.314217421,0.316351666,0.369430912
15,2.184692098,2.244061392,2.85625228,0.299888863,0.308038382,0.392072755
16,4.562802815,4.499282219,4.358623425,0.339982262,0.335249233,0.324768505
17,3.58150475,3.736738098,5.407314561,0.281441876,0.293640426,0.424917698
18,3.729082505,4.1824477,4.227174745,0.30720596,0.344554688,0.348239352
19,4.312038453,4.761807732,4.578013578,0.315857219,0.34880286,0.335339921
20,6.681293265,7.224580345,9.239103236,0.288671417,0.312144635,0.399183948
21,3.446793898,3.661438271,4.106242845,0.307352229,0.326492169,0.366155602
22,3.49608796,3.543689044,3.704262242,0.325397914,0.329828379,0.344773707
23,3.499353309,3.684691035,4.215843981,0.306963824,0.323221678,0.369814498
24,3.220502768,3.459025435,3.891220323,0.304661752,0.327226159,0.368112089
25,3.062845832,3.202028986,3.837701712,0.303174722,0.316951718,0.37987356
26,3.00378161,3.17239876,3.605180432,0.307092405,0.324331023,0.368576572
27,4.690511135,4.637419254,4.303296461,0.344100438,0.340205567,0.315693995
28,8.580051653,9.22679482,11.91615509,0.288667066,0.310426079,0.400906855
29,3.53771046,3.573448591,4.056082701,0.316793577,0.319993842,0.363212581
30,3.651044073,3.748246485,6.015886457,0.272157726,0.279403431,0.448438843
31,2.130136829,2.189617323,2.743438271,0.301582727,0.310003918,0.388413356
32,5.15782494,5.871538783,4.652942551,0.328894542,0.374405313,0.296700145
33,3.841617855,4.11040166,4.155553813,0.317290488,0.339490131,0.34321938
34,3.929352625,4.596869722,4.134018999,0.310369488,0.363094952,0.32653556
35,3.335218327,3.365787575,3.633046359,0.32274061,0.325698718,0.351560672
36,3.280490603,3.579218033,3.928288201,0.304087094,0.331777816,0.36413509
37,3.492335979,3.704955823,4.345961802,0.302543468,0.320962872,0.37649366
