,0,1,2,x,y,z
0,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
1,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
2,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
3,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
4,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
5,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
6,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
7,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
8,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
9,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
10,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
11,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
12,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
13,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
14,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
15,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
16,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
17,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
18,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
19,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
20,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
21,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
22,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
23,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
24,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
25,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
26,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
27,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
28,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
29,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
30,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
31,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
32,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
33,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
34,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
35,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
36,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
37,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
38,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
39,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
40,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
41,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
42,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
43,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
44,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
45,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
46,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
47,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
48,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
49,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
50,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
51,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
52,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
53,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
54,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
55,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
56,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
57,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
58,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
59,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
60,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
61,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
62,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
63,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
64,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
65,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
66,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
67,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
68,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
69,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
70,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
71,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
72,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
73,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
74,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
75,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
76,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
77,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
78,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
79,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
80,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
81,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
82,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
83,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
84,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
85,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
86,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
87,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
88,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
89,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
90,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
91,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
92,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
93,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
94,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
95,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
96,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
97,3.37807431,3.583039955,3.953067397,0.309512377,0.328292131,0.362195492
